folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,proagro,mesproc,progan,mesprogan,nvo_apoyo,nvo_prog1,nvo_act1,nvo_cant1,nvo_prog2,nvo_act2,nvo_cant2,nvo_prog3,nvo_act3,nvo_cant3,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
0160083710,1,01,1,4,1, ,2, , , , , , , , ,6,6,6,0,0, , ,3,3,0,3,3,0, ,10000,2, , , , , , , , ,1900,04, , ,2, , , , , , , , , ,2,4,0,0,0,4750,0,0,0,1168.03,0,1165.57
0160083710,1,01,1,5,1,2,2, , , , , , , , ,6,6,6,0,0, , ,3,3,0,3,3,0,7000,28000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,5115,0,0,0,1257.78,0,1257.04
0160083711,1,02,2,5,1,2,2, , , , , , , , ,1,1,1,0,0, , ,1,1,0,0, , ,2400,2100,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,4410,0,0,0,1084.42,0,1082.95
0160083712,1,02,2,5,1,2,2, , , , , , , , ,6,1,1,0,0, , ,1,1,0,0, , ,9000, ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,7500,0,0,6460,1844.26,0,0,1588.52,253.77,0
0160085407,1,01,2,4,1, ,2, , , , , , , , ,6,2,2,0,2,2,0,0, , ,0, , , ,19000,2, , , , , , , , ,5250,04, , ,2, , , , , , , , , ,2,4,75000,900,0,33465,18342.39,220.1,0,8184.37,10377.39,0
0160085407,1,01,2,5,1,2,2, , , , , , , , ,6,1,0,1,0, , ,1,0,1,0, , , , ,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,30000,0,0,11040,7336.95,0,0,2699.99,4636.95,0
0160085411,1,01,1,4,1, ,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , , ,50000,2, , , , , , , , ,5700,08, , ,2, , , , , , , , , ,2,4,33000,400,0,31700,8070.65,97.82,0,7752.71,413.8,0
0160085411,1,01,1,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,86000,60000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,12000,0,0,181500,2934.78,0,0,44388.58,0,41453.8
0160099418,1,04,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , , ,4000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,17600,0,0,11300,4304.34,0,0,2763.58,1540.76,0
0160099505,1,01,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,20000,1000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,9000,0,0,8100,2201.08,0,0,1980.97,220.1,0
0160108416,1,02,2,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , ,12500,1500,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,0,0,0,0,0,0,0
0160108418,1,01,2,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , ,17500,1700,1, , , , , , , ,14600, , , , ,2, , , , , , , , , ,2,4,5300,5000,0,0,1296.19,1222.82,0,0,2518.04,0
0160108609,1,01,1,4,1, ,2, , , , , , , , ,7,0, , , , , , , , , , , , ,50000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,0,0,0,26500,0,0,0,6516.39,0,6515.4
0160108609,1,01,1,5,1,1,2, , , , , , , , ,6,2,1,1,1,1,0,1,0,1,0, , ,120000,30000,2, , , , , , , , , , , , ,2, , , , , , , , , ,2,4,195944,250,3360,119500,48182.95,61.47,826.22,29385.24,19684.91,0
