folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
0101807403,1,TB04,348, ,1010.32
0101807403,1,TB05,1170, ,3396.77
0101807403,1,TB07,1530, ,4441.93
0101807403,1,TB08,1304,974,1275.65
0101807403,1,TB09,400,0,391.3
0101807403,1,TB10,2460,860,2406.52
0101807403,1,TB11,760,0,371.73
0101807403,1,TB12,3320,730,1623.91
0101856901,1,TB11,6500,0,3179.34
0101856903,1,TB05,350, ,1016.12
0101877901,1,TB13,3000,3000,1467.39
0101877902,1,TB04,2000, ,5806.45
0101877902,1,TB01,4500, ,13064.51
0101877902,1,TB11,2200,2200,1076.08
0101877902,1,TB12,19000,19000,9293.47
0101954504,1,TB08,1320,0,1291.3
0101957605,1,TB13,1500,0,737.7
0102002607,1,TB03,1345, ,4035
0102002607,1,TB08,1240,0,1213.04
0102002607,1,TB01,2800, ,8400
0102002619,1,TB01,1800, ,5400
0102002619,1,TR01,500, ,1500
0102028006,1,TB11,1300,0,635.86
0102037204,1,TB11,1100,1100,543.95
0102037206,1,TB12,15000,0,7417.58
0102095006,1,TB09,4300,4300,4206.52
0102132410,1,TB06,500, ,1451.61
0102132418,1,TB02,510, ,1480.64
0102132418,1,TB13,1800,1800,880.43
0102132418,1,TB03,60, ,174.19
0102132801,1,TB08,4044,4044,3956.08
0102143504,1,TB11,1400,264,684.78
0102143524,1,TB05,1000, ,2903.22
0102143524,1,TB12,7200,1000,3521.73
0102192215,1,TB08,1629,1629,1593.58
0102192215,1,TB11,950,950,469.78
0102199521,1,TB08,480,480,469.56
0102209518,1,TB12,31000,0,15163.04
0102209603,1,TB03,255, ,765
0102209603,1,TB02,262, ,786
0102282503,1,TB01,5000, ,14516.12
0102282503,1,TB02,671, ,1948.06
0102282503,1,TB03,2100, ,6096.77
0102282503,1,TB13,2550,1300,1247.28
0102282503,1,TB10,10350,800,10124.99
0102282503,1,TB05,2700, ,7838.7
0102282503,1,TB06,995, ,2888.7
0102282503,1,TB08,2660,1410,2602.17
0102284201,1,TB05,15000, ,43548.38
0102289906,1,TB08,1200,900,1173.91
0102289918,1,TB01,3000, ,8709.67
0102292421,1,TB08,1600,1600,1565.21
0102292421,1,TB10,300,0,293.47
0102292421,1,TB09,3000,0,2934.78
0102292906,1,TB05,320, ,929.03
0102292906,1,TB12,1200,300,586.95
0102313304,1,TB12,4500,1800,2201.08
0102313406,1,TB08,330,0,322.82
0102313406,1,TB12,9690,720,4739.67
0102313422,1,TB12,6000,1000,2934.78
0102313422,1,TB01,600, ,1741.93
0102313422,1,TB10,1000,1000,978.26
0102313915,1,TB14,7470,960,3653.8
0102313915,1,TB07,639, ,1855.16
0102313915,1,TB03,120, ,348.38
0102313915,1,TB01,2000, ,5806.45
0102339904,1,TB11,13700,0,6701.08
0102339904,1,TB09,9900,0,9684.78
0160020421,1,TB01,600, ,1741.93
0160020421,1,TB14,11196,11196,5476.3
0160020421,1,TB08,5350,5040,5233.69
0160020422,1,TB04,4800, ,13935.48
0160020608,1,TB01,3200, ,9600
0160020610,1,TB08,2260,0,2210.86
0160020610,1,TB12,700,0,344.26
0160020610,1,TB14,16200,1200,7967.21
0160022220,1,TB01,2000, ,5806.45
0160022904,1,TB12,4880,480,2386.95
0160027618,1,TB12,4600,460,2262.29
0160028316,1,TB05,400, ,1161.29
0160036202,1,TB02,434, ,1259.99
0160036202,1,TB03,450, ,1306.45
0160036710,1,TR03,180, ,540
0160038801,1,TB08,800,800,782.6
0160044410,1,TB08,480,0,469.56
0160044410,1,TB05,360, ,1045.16
0160044410,1,TB12,139,30,67.98
0160044418,1,TB11,4000,500,1956.52
0160067018,1,TB08,2000,0,1956.52
0160067211,1,TB12,19000,19000,9395.6
0160073503,1,TB05,220, ,638.7
0160074307,1,TB08,2400,2400,2347.82
0160074904,1,TB13,3600,0,1760.86
0160074904,1,TB08,3480,0,3404.34
0160078510,2,TB08,1600,1600,1565.21
0160078510,2,TB09,6400,670,6260.86
0160078511,1,TB10,11982,4212,11721.52
0160078511,1,TB08,2150,1900,2103.26
0160078511,1,TB03,1370, ,3977.41
0160078511,1,TB13,1400,1400,684.78
0160078511,1,TB07,349, ,1013.22
0160078613,1,TB01,1500, ,4500
0160078617,1,TB13,1800,1800,885.24
0160078618,1,TB13,1600,1600,786.88
0160078618,1,TB12,500,500,245.9
0160078618,1,TB11,800,800,393.44
0160078618,1,TB10,5100,1550,4989.13
0160078618,1,TB01,8500, ,25500
0160078618,1,TB08,3500,0,3423.91
0160078618,1,TB05,3000, ,9000
0160078618,1,TB04,5000, ,15000
0160078618,1,TB03,400, ,1200
0160078618,1,TB14,3000,500,1475.4
0160078704,1,TB01,2700, ,8100
0160078704,1,TB03,234, ,702
0160078706,1,TB02,146, ,438
0160078706,1,TB03,240, ,720
0160078706,1,TR01,770, ,2310
0160079019,1,TB08,120,0,117.39
0160079402,1,TB08,600,500,586.95
0160079403,1,TB11,460,115,224.99
0160079403,1,TB12,740,185,361.95
0160085801,1,TB12,2500,0,1229.5
0160099609,1,TB08,1220,1220,1193.47
0160108608,1,TB10,353,353,345.32
0160108608,1,TB08,850,0,831.52
0160108608,1,TB03,131, ,393
0160108608,1,TB04,300, ,900
0160108608,1,TB05,400, ,1200
0160114407,1,TB08,2651,1677,2593.36
0160114407,1,TB11,600,0,293.47
0160114411,1,TB08,1518,1518,1484.99
0160114411,1,TB12,700,0,342.39
0160114803,1,TB10,180,180,176.08
0160114803,1,TB08,249,0,243.58
0160114915,1,TB04,300, ,870.96
0160114915,1,TB08,8000,0,7826.08
0160114915,1,TR08,2000,0,1956.52
0160125802,1,TB11,5400,600,2655.73
0160146702,1,TB13,5200,1600,2557.37
0160159618,1,TB07,1970, ,5910
0160179406,2,TB02,329, ,955.16
0160179406,2,TB05,250, ,725.8
0160181206,1,TB03,730, ,2119.35
0160181206,1,TB02,450, ,1306.45
0160187301,1,TB09,600,0,586.95
0160187302,1,TB01,3000, ,8709.67
0160187302,1,TB08,3800,0,3717.39
0160187302,1,TR01,2000, ,5806.45
0160187304,1,TB10,15170,4115,14840.21
0160187304,1,TB11,6000,0,2934.78
0160187304,1,TB12,4500,0,2201.08
0160187304,1,TB09,1930,1110,1888.04
0160187304,1,TB08,3100,2950,3032.6
0160187304,1,TB02,704, ,2043.87
0160187304,1,TB05,2800, ,8129.03
0160187304,1,TB06,700, ,2032.25
0160187304,1,TB03,572, ,1660.64
0160187304,1,TB01,450, ,1306.45
0160187305,1,TB11,10000,0,4891.3
0160187306,1,TB06,600, ,1741.93
0160187306,1,TB08,600,0,586.95
0160187306,1,TB10,1200,0,1173.91
0160187306,1,TB11,4000,0,1956.52
0160192504,1,TB12,209,0,102.22
0160192504,1,TB01,1200, ,3483.87
0160192504,1,TB08,549,549,537.06
0160192505,1,TB05,3500, ,10161.29
0160192505,1,TB13,7800,1200,3815.21
0160192609,1,TB13,400,0,196.72
0160195223,1,TB03,618, ,1794.19
0160195223,1,TB11,800,0,395.6
0160195309,1,TB02,110, ,319.35
0160196022,1,TB08,2180,500,2132.6
0160196024,1,TB05,5000, ,14516.12
0160196911,1,TB04,2800, ,8129.03
0160196911,1,TB08,720,720,704.34
0160196911,1,TB05,1800, ,5225.8
0160198502,1,TB02,1360, ,3948.38
0160198502,1,TB08,4550,0,4451.08
0160198502,1,TB03,750, ,2177.41
0160198502,1,TB06,2100, ,6096.77
0160198606,1,TB12,2500,600,1229.5
0160206023,1,TB12,12000,580,5869.56
0160206315,1,TB11,8000,8000,3913.04
0160207019,1,TB13,28000,0,13695.65
0160235607,1,TB12,6000,500,2950.81
0160235607,1,TB11,14000,0,6885.24
0160248912,1,TB13,1675,1675,819.29
0160255311,1,TB12,500,150,244.56
0160260208,1,TB08,2950,2950,2885.86
0200116606,1,TB08,1700,0,1663.04
0200116606,1,TB01,4000, ,12000
0200243602,1,TB11,1800,1800,885.24
0200322803,1,TB02,649, ,1947
0200322803,1,TB03,1061, ,3183
0200322803,1,TB10,6610,2840,6466.3
0200365902,1,TB08,1298,0,1269.78
0200559404,1,TB12,1100,1100,538.04
0200669705,1,TB05,4000, ,12000
0200930304,1,TR01,365, ,1059.67
0201081802,1,TB01,2800, ,8400
0201081802,1,TB02,79, ,237
0201081802,1,TB03,96, ,288
0201081802,1,TB05,1600, ,4800
0201081802,1,TB07,1250, ,3750
0201081802,1,TB10,250,0,244.56
0201081803,1,TB12,10000,10000,4918.03
0201082403,1,TB12,3300,550,1614.13
0201082403,1,TB05,300, ,870.96
0201211703,1,TB11,1100,550,540.98
0201289604,1,TB07,1500, ,4500
0201289604,1,TB02,536, ,1608
0201331905,1,TB03,5000, ,14516.12
0201342305,1,TB01,149, ,432.58
0201518502,1,TB15,500,500,244.56
0201518503,1,TB05,14700, ,42677.41
0201518505,1,TB11,15000,15000,7336.95
0201518505,1,TB05,2400, ,6967.74
0201518506,1,TB02,372, ,1079.99
0201518506,1,TB03,311, ,902.9
0201639402,1,TB01,2500, ,7258.06
0201639402,1,TB02,285, ,827.41
0201639402,1,TB03,690, ,2003.22
0201639402,1,TB07,980, ,2845.16
0201760303,1,TB05,4000, ,11612.9
0201799801,1,TB03,1885, ,5655
0201799801,1,TB05,600, ,1800
0201799801,1,TB14,10000,10000,4918.03
0201799801,1,TB07,4400, ,13200
0201799804,1,TB10,4000,4000,3913.04
0201806402,1,TB04,18000, ,52258.06
0201806402,1,TB11,17000,0,8315.21
0201806402,1,TB13,3000,0,1467.39
0201814006,1,TB15,60000,12000,29347.82
0201827203,1,TB03,42, ,121.93
0201827203,1,TB02,121, ,351.29
0201827203,1,TB01,1000, ,2903.22
0201827203,1,TB05,1330, ,3861.29
0201827204,1,TB05,3420, ,9929.03
0202041705,1,TB01,6000, ,18000
0202041705,1,TB03,1270, ,3810
0202041705,1,TB04,3700, ,11100
0202041705,1,TB05,1400, ,4200
0202041705,1,TB10,4400,4400,4304.34
0202041705,1,TR02,700, ,2100
0202140305,1,TB08,1280,1280,1252.17
0202157003,1,TB11,2000,2000,978.26
0202165203,1,TB01,2000, ,5806.45
0202165205,1,TB01,2000, ,5806.45
0202165205,1,TR01,1000, ,2903.22
0202276606,1,TB01,6000, ,18000
0202352202,1,TB01,1000, ,2903.22
0202352206,1,TB10,1200,0,1173.91
0202352206,1,TB11,25000,0,12362.63
0202426805,1,TB02,476, ,1428
0202426805,1,TB13,1800,1800,885.24
0202426805,1,TB10,2110,0,2064.13
0202426805,1,TB01,6000, ,18000
0202426805,1,TB03,1498, ,4494
0202426805,1,TB05,2200, ,6600
0202426805,1,TB07,1166, ,3498
0202426805,1,TB09,260,260,254.34
0202462402,1,TB10,19920,1900,19486.95
0202462402,1,TB01,6000, ,17419.35
0202462403,1,TB04,200, ,580.64
0202462403,1,TB13,202000,0,98804.34
0202462403,1,TB12,4800,500,2347.82
0202462403,1,TB11,24000,0,11739.13
0202462403,1,TB08,350,0,342.39
0202462403,1,TB07,2800, ,8129.03
0202462403,1,TB01,2000, ,5806.45
0202462404,1,TB14,12000,0,5869.56
0202462404,1,TB08,2000,2000,1956.52
0202462406,1,TB13,8500,0,4157.6
0202493303,1,TB05,4800, ,13935.48
0202493304,1,TB08,800,800,782.6
0202493304,1,TB04,3500, ,10161.29
0202493305,1,TB06,40, ,116.12
0202493305,1,TB03,357, ,1036.45
0202493305,1,TB05,700, ,2032.25
0202493305,1,TB10,2580,80,2523.91
0202496001,1,TB13,3000,0,1467.39
0202496001,1,TB12,6000,0,2934.78
0202548204,1,TB10,300,300,293.47
0202548204,1,TB05,4600, ,13354.83
0202548204,1,TB06,200, ,580.64
0202548204,1,TB01,530, ,1538.7
0202548204,1,TB13,6000,0,2967.03
0202548204,1,TB02,545, ,1582.25
0202548204,1,TB03,1021, ,2964.19
0202553701,1,TB04,14000, ,42000
0202628602,1,TB13,24000,4000,11803.27
0202807903,1,TB13,3600,3600,1760.86
0202807903,1,TB12,870,0,425.54
0202807903,1,TB01,250, ,725.8
0202807903,1,TB05,2500, ,7258.06
0202807903,1,TB08,810,0,792.39
0202807903,1,TB11,1000,0,489.13
0203380305,1,TB01,10000, ,29032.25
0203514205,1,TB03,300, ,870.96
0203514205,1,TB05,1500, ,4354.83
0203570502,1,TB10,24000,10000,23478.26
0203620402,1,TB13,2000,2000,978.26
0203620405,1,TB11,21500,21500,10516.3
0203703702,1,TB03,1037, ,3111
0203703702,1,TB02,432, ,1296
0203703703,1,TB10,1070,1070,1046.73
0203754501,1,TB08,13650,4820,13353.26
0203754501,1,TB02,240, ,696.77
0203754501,1,TB09,300,240,293.47
0203754501,1,TB10,400,0,391.3
0203754502,1,TB01,1000, ,2903.22
0203754502,1,TR01,200, ,580.64
0203754502,1,TB08,5200,2200,5086.95
0204369202,1,TB02,264, ,766.45
0204369202,1,TB05,1600, ,4645.16
0204596303,1,TB11,650,0,317.93
0204762303,1,TB01,16000, ,46451.61
0204762303,1,TR01,2000, ,5806.45
0205348902,1,TB04,1875, ,5443.54
0205573801,1,TB04,6000, ,18000
0205681003,1,TB08,2085,2085,2039.67
0205681005,1,TB08,1170,1170,1144.56
0205681005,1,TB03,1300, ,3774.19
0205703205,1,TB07,960, ,2787.09
